"Date";"End";"Designation";"Remarks";
"23.12.2023";"07.01.2024";"Christmas holidays";
"10.02.2024";"18.02.2024";"shrove / carneval holidays";
"28.03.2024";"02.04.2024";"Easter holidays";
"25.04.2024";"28.04.2024";"Liberation Italy";
"01.05.2024";"01.05.2024";"Labour Day";
"18.05.2024";"20.05.2024";"Whitsun Holiday";
"15.06.2024";"04.09.2024";"Summer holidays";
"26.10.2024";"03.11.2024";"Autumn holidays";
"24.12.2024";"06.01.2025";"Christmas holidays";

"01.03.2025";"08.03.2025";"shrove / carneval holidays";
"17.04.2025";"22.04.2025";"Easter holidays";
"25.04.2025";"26.04.2025";"Liberation Italy";
"01.05.2025";"03.05.2025";"Labour Day";
"02.06.2025";"02.06.2025";"Republic Day Italy";
"09.06.2025";"09.06.2025";"Whit Monday";
"14.06.2025";"07.09.2025";"Summer holidays";
"25.10.2025";"02.11.2025";"Autumn holidays";
"08.12.2025";"08.12.2025";"Immaculate Conception";
"24.12.2025";"06.01.2026";"Christmas holidays";

"14.02.2026";"22.02.2026";"shrove / carneval holidays";
"02.04.2026";"07.04.2026";"Easter holidays";
"25.04.2026";"25.04.2026";"Liberation Italy";
"01.05.2026";"02.05.2026";"Labour Day";
"25.05.2026";"25.05.2026";"Whit Monday";
"01.06.2026";"02.06.2026";"Republic Day Italy";
"17.06.2026";"06.09.2026";"Summer holidays"; (Provisional date (not yet official))
"24.10.2026";"01.11.2026";"Autumn holidays"; (Provisional date (not yet official))
"08.12.2026";"08.12.2026";"Immaculate Conception";
"23.12.2026";"06.01.2027";"Christmas holidays"; (Provisional date (not yet official))


